,room,capacity,time,occupancy,occupancyCount
354,B1.08,40,Fri Nov 06 11:00:00,0%,0.0
355,B1.08,40,Fri Nov 06 12:00:00,0%,0.0
356,B1.08,40,Fri Nov 06 13:00:00,0%,0.0
357,B1.08,40,Fri Nov 06 14:00:00,0%,0.0
358,B1.08,40,Fri Nov 06 15:00:00,0%,0.0
359,B1.08,40,Fri Nov 06 16:00:00,0%,0.0
360,B1.08,40,Mon Nov 09 09:00:00,0%,0.0
361,B1.08,40,Mon Nov 09 10:00:00,25%,10.0
362,B1.08,40,Mon Nov 09 11:00:00,25%,10.0
363,B1.08,40,Mon Nov 09 12:00:00,25%,10.0
364,B1.08,40,Mon Nov 09 13:00:00,25%,10.0
365,B1.08,40,Mon Nov 09 14:00:00,50%,20.0
366,B1.08,40,Mon Nov 09 15:00:00,50%,20.0
367,B1.08,40,Mon Nov 09 16:00:00,25%,10.0
368,B1.08,40,Tue Nov 10 09:00:00,0%,0.0
369,B1.08,40,Tue Nov 10 10:00:00,0%,0.0
370,B1.08,40,Tue Nov 10 11:00:00,0%,0.0
371,B1.08,40,Tue Nov 10 12:00:00,0%,0.0
372,B1.08,40,Tue Nov 10 13:00:00,0%,0.0
373,B1.08,40,Tue Nov 10 14:00:00,50%,20.0
374,B1.08,40,Tue Nov 10 15:00:00,25%,10.0
375,B1.08,40,Tue Nov 10 16:00:00,25%,10.0
376,B1.08,40,Wed Nov 11 09:00:00,0%,0.0
377,B1.08,40,Wed Nov 11 10:00:00,25%,10.0
378,B1.08,40,Wed Nov 11 11:00:00,25%,10.0
379,B1.08,40,Wed Nov 11 12:00:00,25%,10.0
380,B1.08,40,Wed Nov 11 13:00:00,25%,10.0
381,B1.08,40,Wed Nov 11 14:00:00,50%,20.0
382,B1.08,40,Wed Nov 11 15:00:00,25%,10.0
383,B1.08,40,Wed Nov 11 16:00:00,0%,0.0
384,B1.08,40,Thu Nov 12 09:00:00,0%,0.0
385,B1.08,40,Thu Nov 12 10:00:00,0%,0.0
386,B1.08,40,Thu Nov 12 11:00:00,25%,10.0
387,B1.08,40,Thu Nov 12 12:00:00,0%,0.0
388,B1.08,40,Thu Nov 12 13:00:00,50%,20.0
389,B1.08,40,Thu Nov 12 14:00:00,75%,30.0
390,B1.08,40,Thu Nov 12 15:00:00,50%,20.0
391,B1.08,40,Thu Nov 12 16:00:00,0%,0.0
392,B1.08,40,Fri Nov 13 09:00:00,75%,30.0
393,B1.08,40,Fri Nov 13 10:00:00,75%,30.0
394,B1.08,40,Fri Nov 13 11:00:00,25%,10.0
395,B1.08,40,Fri Nov 13 12:00:00,25%,10.0
396,B1.08,40,Fri Nov 13 13:00:00,25%,10.0
397,B1.08,40,Fri Nov 13 14:00:00,0%,0.0
398,B1.08,40,Fri Nov 13 15:00:00,0%,0.0
399,B1.08,40,Fri Nov 13 16:00:00,25%,10.0
400,B1.09,90,Mon Nov 02 09:00:00,0%,0.0
401,B1.09,90,Mon Nov 02 10:00:00,50%,45.0
402,B1.09,90,Mon Nov 02 11:00:00,50%,45.0
403,B1.09,90,Mon Nov 02 12:00:00,50%,45.0
404,B1.09,90,Mon Nov 02 13:00:00,75%,67.5
405,B1.09,90,Mon Nov 02 14:00:00,75%,67.5
406,B1.09,90,Mon Nov 02 15:00:00,0%,0.0
407,B1.09,90,Mon Nov 02 16:00:00,25%,22.5
408,B1.09,90,Tue Nov 03 09:00:00,0%,0.0
409,B1.09,90,Tue Nov 03 10:00:00,25%,22.5
410,B1.09,90,Tue Nov 03 11:00:00,25%,22.5
411,B1.09,90,Tue Nov 03 12:00:00,50%,45.0
412,B1.09,90,Tue Nov 03 13:00:00,25%,22.5
413,B1.09,90,Tue Nov 03 14:00:00,25%,22.5
414,B1.09,90,Tue Nov 03 15:00:00,0%,0.0
415,B1.09,90,Tue Nov 03 16:00:00,0%,0.0
416,B1.09,90,Wed Nov 04 09:00:00,0%,0.0
417,B1.09,90,Wed Nov 04 10:00:00,0%,0.0
418,B1.09,90,Wed Nov 04 11:00:00,25%,22.5
419,B1.09,90,Wed Nov 04 12:00:00,0%,0.0
420,B1.09,90,Wed Nov 04 13:00:00,25%,22.5
421,B1.09,90,Wed Nov 04 14:00:00,75%,67.5
422,B1.09,90,Wed Nov 04 15:00:00,0%,0.0
423,B1.09,90,Wed Nov 04 16:00:00,0%,0.0
424,B1.09,90,Thu Nov 05 09:00:00,0%,0.0
425,B1.09,90,Thu Nov 05 10:00:00,0%,0.0
426,B1.09,90,Thu Nov 05 11:00:00,0%,0.0
427,B1.09,90,Thu Nov 05 12:00:00,25%,22.5
428,B1.09,90,Thu Nov 05 13:00:00,25%,22.5
429,B1.09,90,Thu Nov 05 14:00:00,25%,22.5
430,B1.09,90,Thu Nov 05 15:00:00,0%,0.0
431,B1.09,90,Thu Nov 05 16:00:00,0%,0.0
432,B1.09,90,Fri Nov 06 09:00:00,0%,0.0
433,B1.09,90,Fri Nov 06 10:00:00,0%,0.0
434,B1.09,90,Fri Nov 06 11:00:00,0%,0.0
435,B1.09,90,Fri Nov 06 12:00:00,0%,0.0
436,B1.09,90,Fri Nov 06 13:00:00,0%,0.0
437,B1.09,90,Fri Nov 06 14:00:00,0%,0.0
438,B1.09,90,Fri Nov 06 15:00:00,0%,0.0
439,B1.09,90,Fri Nov 06 16:00:00,0%,0.0
440,B1.09,90,Mon Nov 09 09:00:00,0%,0.0
441,B1.09,90,Mon Nov 09 10:00:00,0%,0.0
442,B1.09,90,Mon Nov 09 11:00:00,25%,22.5
443,B1.09,90,Mon Nov 09 12:00:00,25%,22.5
444,B1.09,90,Mon Nov 09 13:00:00,25%,22.5
445,B1.09,90,Mon Nov 09 14:00:00,0%,0.0
446,B1.09,90,Mon Nov 09 15:00:00,25%,22.5
447,B1.09,90,Mon Nov 09 16:00:00,25%,22.5
448,B1.09,90,Tue Nov 10 09:00:00,0%,0.0
449,B1.09,90,Tue Nov 10 10:00:00,0%,0.0
450,B1.09,90,Tue Nov 10 11:00:00,0%,0.0
451,B1.09,90,Tue Nov 10 12:00:00,0%,0.0
452,B1.09,90,Tue Nov 10 13:00:00,0%,0.0
453,B1.09,90,Tue Nov 10 14:00:00,25%,22.5
454,B1.09,90,Tue Nov 10 15:00:00,0%,0.0
455,B1.09,90,Tue Nov 10 16:00:00,0%,0.0
456,B1.09,90,Wed Nov 11 09:00:00,0%,0.0
457,B1.09,90,Wed Nov 11 10:00:00,0%,0.0
458,B1.09,90,Wed Nov 11 11:00:00,0%,0.0
459,B1.09,90,Wed Nov 11 12:00:00,0%,0.0
460,B1.09,90,Wed Nov 11 13:00:00,25%,22.5
461,B1.09,90,Wed Nov 11 14:00:00,25%,22.5
462,B1.09,90,Wed Nov 11 15:00:00,0%,0.0
