,room,capacity,occupancy,day,month,date,time
353,B1.08,40,0%,Fri,Nov,06,10:00:00
354,B1.08,40,0%,Fri,Nov,06,11:00:00
355,B1.08,40,0%,Fri,Nov,06,12:00:00
356,B1.08,40,0%,Fri,Nov,06,13:00:00
357,B1.08,40,0%,Fri,Nov,06,14:00:00
358,B1.08,40,0%,Fri,Nov,06,15:00:00
359,B1.08,40,0%,Fri,Nov,06,16:00:00
360,B1.08,40,0%,Mon,Nov,09,09:00:00
361,B1.08,40,25%,Mon,Nov,09,10:00:00
362,B1.08,40,25%,Mon,Nov,09,11:00:00
363,B1.08,40,25%,Mon,Nov,09,12:00:00
364,B1.08,40,25%,Mon,Nov,09,13:00:00
365,B1.08,40,50%,Mon,Nov,09,14:00:00
366,B1.08,40,50%,Mon,Nov,09,15:00:00
367,B1.08,40,25%,Mon,Nov,09,16:00:00
368,B1.08,40,0%,Tue,Nov,10,09:00:00
369,B1.08,40,0%,Tue,Nov,10,10:00:00
370,B1.08,40,0%,Tue,Nov,10,11:00:00
371,B1.08,40,0%,Tue,Nov,10,12:00:00
372,B1.08,40,0%,Tue,Nov,10,13:00:00
373,B1.08,40,50%,Tue,Nov,10,14:00:00
374,B1.08,40,25%,Tue,Nov,10,15:00:00
375,B1.08,40,25%,Tue,Nov,10,16:00:00
376,B1.08,40,0%,Wed,Nov,11,09:00:00
377,B1.08,40,25%,Wed,Nov,11,10:00:00
378,B1.08,40,25%,Wed,Nov,11,11:00:00
379,B1.08,40,25%,Wed,Nov,11,12:00:00
380,B1.08,40,25%,Wed,Nov,11,13:00:00
381,B1.08,40,50%,Wed,Nov,11,14:00:00
382,B1.08,40,25%,Wed,Nov,11,15:00:00
383,B1.08,40,0%,Wed,Nov,11,16:00:00
384,B1.08,40,0%,Thu,Nov,12,09:00:00
385,B1.08,40,0%,Thu,Nov,12,10:00:00
386,B1.08,40,25%,Thu,Nov,12,11:00:00
387,B1.08,40,0%,Thu,Nov,12,12:00:00
388,B1.08,40,50%,Thu,Nov,12,13:00:00
389,B1.08,40,75%,Thu,Nov,12,14:00:00
390,B1.08,40,50%,Thu,Nov,12,15:00:00
391,B1.08,40,0%,Thu,Nov,12,16:00:00
